Comment,Designator,Footprint,LCSC Part #
"1u","C1, C133","C0603","C15849"
"100n","C2, C3, C4, C5, C411, C413, C420, C460, C461, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C101, C105, C106, C107, C108, C109, C110, C112, C113, C118, C119, C120, C121, C122, C123, C124, C126, C127, C128, C129, C130, C135, C139, C430, C431, C430_2, C431_2","C0603","C14663"
"1N4148WS","D1, D2, D3, D4, D5, D6, D7, D8, D21, D22, D410, D412, D413, D414","SOD-323","C2128"
"LED-RED-0603","D9, D13, D14, D15, D16, D17, D103","LED-0603","C2286"
"LED-WHITE-0603","D10, D11, D12","LED-0603","C2290"
"LED-BLUE-0603","D18, D19, D105","LED-0603","C72041"
"LED-GREEN-0603","D20, D751, D104","LED-0603","C72043"
"PSM712-LF","D23, D411","SOT-23","C32677"
"B5819W","D24, D25, D26, D27, D28, D29, D416, D417, D101, D107","SOD-123","C8598"
"nSMD005","F1, F2","PAD-1206-PAD","C369153"
"nSMD050","F3, F4","PAD-1206-PAD","C720075"
"DISCLAIMER","G1","",""
"LOGO","G2","LOGO",""
"LOGO","G3","LOGO",""
"LOGO_AlphaECU","G4","alphax_logo_AlphaECU",""
"LOGO_AlphaX","G5","alphax_logo_AlphaX",""
"ALPHAX_QR_CODE","G6","alphax_qr_code",""
"USB_B_Mini","J1","USB-MINI-B-HORIZONTAL","C69074"
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J5","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J6","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J7","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J8","TestPoint_Pad_D2.0mm",""
"33311-24AW-2","P1","33311-24AW-2",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"AO3400A","Q1, Q2, Q10, Q11, Q12, Q15, Q19, Q20, Q21","SOT-23","C20917"
"AO3401A","Q4, Q5, Q13, Q14, Q16, Q17, Q18, Q22","SOT-23","C15127"
"4.7k","R1, R2, R5, R25, R26, R27, R28, R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"4.7k","R3, R30, R31, R38, R39, R41, R43, R46, R48, R49","R0603","C23162"
"Jumper-Pad-Pad","R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20","PAD-0805-PAD","C17477"
"2k","R21, R23, R34, R36, R47","R1206","C17944"
"4.7k","R22, R24, R35, R37","R1206","C17936"
"1.2k","R29, R42","R0603","C22765"
"2.7k","R32, R33","R0603","C13167"
"SMD1206B035TF/16","R40, F101","SMD1206","C269114"
"3.3k","R44, R45, R216","R0603","C22978"
"SN74LVC2G17DBVR","U2","SOT23-6","C10429"
"JDY-33","U4","JDY-33",""
"SN74LVC1G06DBVR","U5","SOT23-5","C840103"
"47u","C410, C412","C1206","C96123"
"SMCJ30A","D418","SMC","C310046"
"6.8k","R410, R413","R0603","C23212"
"33k","R411","R0603","C4216"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"10u","C421, C422, C423, C424","C1206","C13585"
"10u","C425, C426","C0805","C15850"
"4.7u","C427, C102, C103, C104, C137, C138, C140","C0603","C19666"
"10n","C428, C201, C208, C209, C210, C211","C0603","C57112"
"220p","C429","C0603","C1603"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D206","SMB","C78395"
"1","R420","R0603","C22936"
"10k","R421, R102, R121, R127, R128","R0603","C25804"
"68k","R422","R0603","C23231"
"12k","R423","R0603","C22790"
"1n","C751","C0402","C1523"
"470n","C752","C0402","C47339"
"100n","C753, C754, C759","C0402","C1525"
"1u","C755, C758, C761, C762, C763, C765, C766, C767","C0402","C52923"
"10n","C756, C757, C760, C764","C0402","C15195"
"2.2k","R751","R0402","C25879"
"10k","R752, R753","R0805","C17414"
"12k","R754","R0402","C25752"
"100k","R755, R756, R758, R759","R0402","C25741"
