Comment,Designator,Footprint,LCSC Part #
"100n","C2, C3, C5, C430, C431","C0603","C14663"
"1N4148WS","D1, D2, D3, D4, D5, D6, D7, D8, D21, D22, D410, D412, D413, D414","SOD-323","C2128"
"LED-RED-0603","D9, D13, D14, D15, D16, D17, D103","LED-0603","C2286"
"LED-WHITE-0603","D10, D11, D12","LED-0603","C2290"
"LED-BLUE-0603","D18, D19, D105, D460, D461, D462, D463, D464, D465, D466, D467","LED-0603","C72041"
"LED-GREEN-0603","D20, D751, D104, D108","LED-0603","C72043"
"PSM712-LF","D23, D411","SOT-23","C32677"
"B5819W","D24, D25, D26, D27, D28, D29, D416, D417, D101, D107","SOD-123","C8598"
"BAT54S","D30, D31","SOT-23","C408389"
"nSMD005","F1, F2","PAD-1206-PAD","C369153"
"nSMD050","F3, F4","PAD-1206-PAD","C720075"
"12H1500D","F5","PAD-1206-PAD","C182446"
"DISCLAIMER","G1","",""
"LOGO","G2","LOGO",""
"LOGO","G3","LOGO",""
"LOGO_AlphaECU","G4","alphax_logo_AlphaECU",""
"LOGO_AlphaX","G5","alphax_logo_AlphaX",""
"ALPHAX_QR_CODE","G6","alphax_qr_code",""
"USB_B_Mini","J1","USB-MINI-B-HORIZONTAL","C69074"
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Pad","J7","PAD-TH",""
"Pad","J8","PAD-TH",""
"33311-24AW-2","P1","33311-24AW-2",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"AO3400A","Q1, Q2, Q10, Q11, Q12, Q15, Q19, Q20, Q21","SOT-23","C20917"
"AO3401A","Q4, Q5, Q13, Q14, Q16, Q17, Q18, Q22","SOT-23","C15127"
"4.7k","R1, R2, R5, R25, R26, R27, R28","R0603-4","C1980"
"Jumper-Pad-Pad","R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20","PAD-0805-PAD","C17477"
"2k","R21, R23, R34, R36, R47","R1206","C17944"
"4.7k","R22, R24, R35, R37","R1206","C17936"
"1.2k","R29, R42","R0603","C22765"
"4.7k","R30, R31, R38, R39, R41, R43, R48, R49","R0603","C23162"
"2.7k","R32, R33","R0603","C13167"
"SMD1206B035TF/16","R40, F101","SMD1206","C269114"
"3.3k","R44, R45","R0603","C22978"
"JDY-33","U4","JDY-33",""
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420","C0402","C307331"
"1u","C414, C415, C755, C758, C761, C762, C763, C765, C766, C767, C133","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426","C0603","C96446"
"4.7u","C427","C0603","C19666"
"10n","C428, C756, C757, C760, C764, C202, C208, C209, C210, C211, C212, C213, C214","C0402","C15195"
"220p","C429","C0402","C1530"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"2.2uH","L420","L1210","C36828"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"33k","R411","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421, R424, R425, R757, R762, R763, R767, R768","R0402","C25744"
"68k","R422, R760","R0402","C36871"
"12k","R423, R754","R0402","C25752"
"1k","R426, R765, R766","R0402","C11702"
"2k","R427","R0402","C4109"
"4.7k","R428, R210, R212, R1002","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"LMR14020","U420","SOP8","C187824"
"1n","C751, C200, C201, C203, C225, C226, C227, C228, C493, C494, C495, C496, C497","C0402","C1523"
"470n","C752","C0402","C47339"
"100n","C753, C754, C759, C100, C101, C105, C108, C109, C110, C113, C118, C119, C121, C122, C124, C127, C128, C129, C130, C139, C170, C175, C180, C185, C190, C195, C204, C205, C206, C207, C216, C217, C218, C219, C220, C221, C222, C230, C231, C232, C233, C270, C275, C280, C285, C460, C461, C1000, C1002, C1003","C0402","C1525"
"2.2k","R751, R122, R123","R0402","C25879"
"10k","R752, R753","R0805","C17414"
"100k","R755, R756, R758, R759","R0402","C25741"
"10","R761, R764, R769, R461, R462, R463, R464, R466, R467, R468, R469","R0402","C25077"
"SRV05-4-P-T7","U751, D102, D200, D201, D202, D203, D204, D206, D207","SOT23-6","C85364"
"74AHC1G02","U752, U757","SOT23-5","C7463"
"MCP6004","U753, U175, U180, U185, U195","TSSOP14","C50282"
"MAX9142","U754","SO8","C18567"
"NC7SB3157P6X","U755, U756, U270, U275, U280, U285","SOT-363","C87403"
"4.7u","C102, C103, C104, C137, C138, C140","C0402","C23733"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"12p","C115, C116","C0402","C1547"
"18p","C132, C136","C0402","C1549"
"22u","C450, C451","C0603","C59461"
"PESD1CAN","D100, D430","SOT-23","C343993"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"Molex MicroSD 47219-2001","J450","SDAMB-012","C164170"
"120","R100, R430","R0603","C22787"
"470","R101, R460, R465","R0603-4","C25510"
"10k","R102, R121, R127, R128, R232, R233, R234, R250, R251, R252, R253, R493, R1000","R0402","C11616"
"100","R104, R106","R0603","C22775"
"470","R107","R0402","C25117"
"47","R114","R0402","C25118"
"4.7k","R125, R170, R171, R175, R176, R180, R181, R185, R186, R190, R191, R196, R197, R200, R209, R218, R227, R236, R245, R257","R0603-4","C66697, C1980"
"10k","R129, R130","R0603-4","C29718"
"0","R1003","R0402","C17168"
"5.1k","R195","R0402","C25905"
"680k","R205, R206, R207, R208, R222, R225, R238, R241, R243, R244, R263, R264, R265, R266","R0402","C163456"
"510","R254, R255, R256, R258","R0402","C25123"
"33k","R450","R0603","C4216"
"BTN","S1000, S1001","SMD-2_2.9x3.9x1.7","C115357"
"TJA1051T/3/1J","U100, U430","SO8","C38695"
"AMS1117-3.3","U101","SOT-223","C6186"
"XC6206P332MR","U111","SOT-23","C5446"
"SN74LVC4245APWR","U460","TSSOP24","C7859"
