Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D30,7.5mm,52.737500mm,Bottom,90.0,7.5mm,52.737500mm
D31,7.5mm,56.737500mm,Bottom,90.0,7.5mm,56.737500mm
G2,77.15mm,3.810000mm,Bottom,180.0,77.15mm,3.810000mm
G3,41.86mm,5.490000mm,Bottom,180.0,41.86mm,5.490000mm
J7,61.0mm,62.300000mm,Bottom,90.0,61.0mm,62.300000mm
J8,66.6mm,62.300000mm,Bottom,90.0,66.6mm,62.300000mm
C2,77.050000mm,13.800000mm,Top,0.0,77.050000mm,13.800000mm
C3,22.160000mm,24.080000mm,Top,90.0,22.160000mm,24.080000mm
C5,9.750000mm,40.600000mm,Top,180.0,9.750000mm,40.600000mm
D1,18.901499mm,79.700000mm,Top,0.0,18.901499mm,79.700000mm
D2,18.701499mm,74.787497mm,Top,0.0,18.701499mm,74.787497mm
D3,18.778000mm,95.008000mm,Top,0.0,18.778000mm,95.008000mm
D4,18.901499mm,81.287497mm,Top,0.0,18.901499mm,81.287497mm
D5,18.700000mm,73.100000mm,Top,0.0,18.700000mm,73.100000mm
D6,18.398502mm,102.012502mm,Top,0.0,18.398502mm,102.012502mm
D7,18.298502mm,86.512502mm,Top,180.0,18.298502mm,86.512502mm
D8,18.300000mm,91.706000mm,Top,180.0,18.300000mm,91.706000mm
D9,8.600000mm,80.300000mm,Top,-90.0,8.600000mm,80.300000mm
D10,13.000000mm,75.100000mm,Top,-90.0,13.000000mm,75.100000mm
D11,13.000000mm,95.900000mm,Top,-90.0,13.000000mm,95.900000mm
D12,13.000000mm,80.300000mm,Top,-90.0,13.000000mm,80.300000mm
D13,8.600000mm,75.100000mm,Top,-90.0,8.600000mm,75.100000mm
D14,8.600000mm,101.100000mm,Top,-90.0,8.600000mm,101.100000mm
D15,13.000000mm,85.500000mm,Top,-90.0,13.000000mm,85.500000mm
D16,13.000000mm,90.700000mm,Top,-90.0,13.000000mm,90.700000mm
D17,8.600000mm,95.900000mm,Top,-90.0,8.600000mm,95.900000mm
D18,8.600000mm,90.700000mm,Top,-90.0,8.600000mm,90.700000mm
D19,8.600000mm,85.500000mm,Top,-90.0,8.600000mm,85.500000mm
D20,13.000000mm,101.100000mm,Top,-90.0,13.000000mm,101.100000mm
D21,18.778000mm,93.484000mm,Top,0.0,18.778000mm,93.484000mm
D22,18.400000mm,100.200000mm,Top,0.0,18.400000mm,100.200000mm
D23,8.900000mm,31.570000mm,Top,270.0,8.900000mm,31.570000mm
D24,6.060000mm,35.365000mm,Top,-90.0,6.060000mm,35.365000mm
D25,77.400000mm,99.700000mm,Top,90.0,77.400000mm,99.700000mm
D26,79.900000mm,84.300000mm,Top,0.0,79.900000mm,84.300000mm
